u_id,book_title
7,The Book Thief
7,To Kill a Mockingbird
7,Life of Pi
7,1984
7,The Fellowship of the Ring
7,Harry Potter: The Complete Series
7,Animal Farm
7,The Great Gatsby
1,Brave New World
7,Brave New World
1,Animal Farm
1,The Notebook
1,The Fault in Our Stars
1,The Hobbit
1,The Perks of Being a Wallflower
3,Into The Wild
3,Digital Fortress
3,Adventures of Huckleberry Finn
3,Rich Dad Poor Dad
3,Digital Fortress
3,Adventures of Huckleberry Finn
3,A Thousand Splendid Suns
1,A Thousand Splendid Suns
3,Gone Girl
7,A Game of Thrones
1,War and Peace
3,War and Peace
3,Norwegian Wood
7,The Fellowship of the Ring
1,The Fellowship of the Ring
3,The Fellowship of the Ring
3,Into Thin Air